Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
Charlotte Hornets,Sacramento Kings,2022-10-31,W,1,True,125.0,-286.0,-3.5
Brooklyn Nets,Indiana Pacers,2022-10-31,W,1,True,105.0,-181.0,8.0
Toronto Raptors,Atlanta Hawks,2022-10-31,L,1,False,-100,-281.0,2.0
Milwaukee Bucks,Detroit Pistons,2022-10-31,W,1,True,100.0,-181.0,12.5
Utah Jazz,Memphis Grizzlies,2022-10-31,L,1,False,-100,-281.0,-3.5
LA Clippers,Houston Rockets,2022-10-31,-,1,False,0,-281.0,0
Brooklyn Nets,Chicago Bulls,2022-11-01,W,1,True,83,-198.0,2.0
Miami Heat,Golden State Warriors,2022-11-01,L,1,False,-100,-298.0,1.0
Oklahoma City Thunder,Orlando Magic,2022-11-01,W,0,False,0,-298.0,3.5
Phoenix Suns,Minnesota Timberwolves,2022-11-01,W,0,False,0,-298.0,4.0
Philadelphia 76ers,Washington Wizards,2022-11-02,W,1,True,120.0,-178.0,5.5
New York Knicks,Atlanta Hawks,2022-11-02,W,1,True,115.0,-63.0,2.5
Miami Heat,Sacramento Kings,2022-11-02,W,1,True,83,20.0,4.5
Cleveland Cavaliers,Boston Celtics,2022-11-02,L,1,False,-100,-80.0,-1.5
Houston Rockets,LA Clippers,2022-11-02,-,1,False,0,-80.0,0
Milwaukee Bucks,Detroit Pistons,2022-11-02,W,0,False,0,-80.0,11.5
San Antonio Spurs,Toronto Raptors,2022-11-02,W,1,True,80,0.0,-6.5
Chicago Bulls,Charlotte Hornets,2022-11-02,W,0,False,0,0.0,6.5
Dallas Mavericks,Utah Jazz,2022-11-02,W,1,True,80,80.0,6.5
Portland Trail Blazers,Memphis Grizzlies,2022-11-02,W,0,False,0,80.0,-5.5
Los Angeles Lakers,New Orleans Pelicans,2022-11-02,L,1,False,-100,-20.0,-2.5
Orlando Magic,Golden State Warriors,2022-11-03,L,1,False,-100,-120.0,-9.5
Oklahoma City Thunder,Denver Nuggets,2022-11-03,W,1,True,115.0,-5.0,-6.5
Detroit Pistons,Cleveland Cavaliers,2022-11-04,W,1,True,105.0,100.0,-4.0
Washington Wizards,Brooklyn Nets,2022-11-04,W,1,True,110.0,210.0,3.0
Philadelphia 76ers,New York Knicks,2022-11-04,W,1,True,72,282.0,1.5
Indiana Pacers,Miami Heat,2022-11-04,L,1,False,-100,182.0,-3.0
Boston Celtics,Chicago Bulls,2022-11-04,W,1,True,115.0,297.0,7.5
San Antonio Spurs,LA Clippers,2022-11-04,-,1,False,0,297.0,0
Memphis Grizzlies,Charlotte Hornets,2022-11-04,L,1,False,-100,197.0,11.5
Dallas Mavericks,Toronto Raptors,2022-11-04,W,1,True,90,287.0,4.0
New Orleans Pelicans,Golden State Warriors,2022-11-04,W,1,True,110.0,397.0,10.5
Phoenix Suns,Portland Trail Blazers,2022-11-04,W,1,True,83,480.0,12.0
Minnesota Timberwolves,Milwaukee Bucks,2022-11-04,W,1,True,115.0,595.0,-2.0
Los Angeles Lakers,Utah Jazz,2022-11-04,W,1,True,110.0,705.0,3.0
Orlando Magic,Sacramento Kings,2022-11-05,L,1,False,-100,605.0,-4.5
Charlotte Hornets,Brooklyn Nets,2022-11-05,W,1,True,83,688.0,-3.5
New York Knicks,Boston Celtics,2022-11-05,W,1,True,115.0,803.0,-4.0
Atlanta Hawks,New Orleans Pelicans,2022-11-05,W,0,False,0,803.0,1.5
Milwaukee Bucks,Oklahoma City Thunder,2022-11-05,W,0,False,0,803.0,5.5
Minnesota Timberwolves,Houston Rockets,2022-11-05,W,0,False,0,803.0,7.5
Denver Nuggets,San Antonio Spurs,2022-11-05,W,0,False,0,803.0,12.0
Phoenix Suns,Portland Trail Blazers,2022-11-05,L,1,False,-100,703.0,12.0
Los Angeles Lakers,Cleveland Cavaliers,2022-11-06,W,1,True,83,786.0,-5.5
Toronto Raptors,Chicago Bulls,2022-11-06,L,1,False,-100,686.0,4.0
Memphis Grizzlies,Washington Wizards,2022-11-06,W,1,True,105.0,791.0,9.5
LA Clippers,Utah Jazz,2022-11-06,-,1,False,0,791.0,0
Charlotte Hornets,Washington Wizards,2022-11-07,W,1,True,100.0,891.0,2.5
Orlando Magic,Houston Rockets,2022-11-07,W,1,True,90,981.0,0.5
Detroit Pistons,Oklahoma City Thunder,2022-11-07,L,1,False,-100,881.0,-4.5
Indiana Pacers,New Orleans Pelicans,2022-11-07,L,1,False,-100,781.0,-1.5
Philadelphia 76ers,Phoenix Suns,2022-11-07,L,1,False,-100,681.0,5.5
Atlanta Hawks,Milwaukee Bucks,2022-11-07,L,1,False,-100,581.0,3.5
Miami Heat,Portland Trail Blazers,2022-11-07,W,1,True,80,661.0,11.5
Chicago Bulls,Toronto Raptors,2022-11-07,L,1,False,-100,561.0,12.5
Memphis Grizzlies,Boston Celtics,2022-11-07,W,1,True,115.0,676.0,1.5
Minnesota Timberwolves,New York Knicks,2022-11-07,W,0,False,0,676.0,-16.5
San Antonio Spurs,Denver Nuggets,2022-11-07,L,1,False,-100,576.0,-10.5
Dallas Mavericks,Brooklyn Nets,2022-11-07,L,0,True,0,576.0,3.5
Golden State Warriors,Sacramento Kings,2022-11-07,L,1,False,-100,476.0,-2.5
Utah Jazz,Los Angeles Lakers,2022-11-07,L,1,False,-100,376.0,8.5
LA Clippers,Cleveland Cavaliers,2022-11-07,-,1,False,0,376.0,0
Orlando Magic,Dallas Mavericks,2022-11-09,L,1,False,-100,276.0,-8.5
Indiana Pacers,Denver Nuggets,2022-11-09,L,1,False,-100,176.0,-4.5
Charlotte Hornets,Portland Trail Blazers,2022-11-09,W,1,True,115.0,291.0,-1.5
Boston Celtics,Detroit Pistons,2022-11-09,W,0,False,0,291.0,13.0
Toronto Raptors,Houston Rockets,2022-11-09,W,1,True,83,374.0,10.0
Atlanta Hawks,Utah Jazz,2022-11-09,W,1,True,100.0,474.0,4.5
Brooklyn Nets,New York Knicks,2022-11-09,L,1,False,-100,374.0,3.5
Oklahoma City Thunder,Milwaukee Bucks,2022-11-09,W,1,True,100.0,474.0,-1.5
Minnesota Timberwolves,Phoenix Suns,2022-11-09,W,1,True,115.0,589.0,1.5
Chicago Bulls,New Orleans Pelicans,2022-11-09,W,1,True,120.0,709.0,-2.0
San Antonio Spurs,Memphis Grizzlies,2022-11-09,L,1,False,-100,609.0,-5.5
Sacramento Kings,Cleveland Cavaliers,2022-11-09,L,1,False,-100,509.0,-4.5
LA Clippers,Los Angeles Lakers,2022-11-09,-,1,False,0,509.0,0
Washington Wizards,Dallas Mavericks,2022-11-10,L,1,False,-100,409.0,-6.0
Atlanta Hawks,Philadelphia 76ers,2022-11-10,W,0,False,0,409.0,1.0
Miami Heat,Charlotte Hornets,2022-11-10,W,1,True,120.0,529.0,10.5
New Orleans Pelicans,Portland Trail Blazers,2022-11-10,W,1,True,72,601.0,10.0
Orlando Magic,Phoenix Suns,2022-11-11,L,1,False,-100,501.0,-7.5
Boston Celtics,Denver Nuggets,2022-11-11,L,1,False,-100,401.0,4.0
New York Knicks,Detroit Pistons,2022-11-11,W,1,True,125.0,526.0,9.5
Oklahoma City Thunder,Toronto Raptors,2022-11-11,L,1,False,-100,426.0,-5.5
San Antonio Spurs,Milwaukee Bucks,2022-11-11,L,1,False,-100,326.0,2.0
Memphis Grizzlies,Minnesota Timberwolves,2022-11-11,L,1,False,-100,226.0,4.5
Golden State Warriors,Cleveland Cavaliers,2022-11-11,L,1,False,-100,126.0,3.0
Los Angeles Lakers,Sacramento Kings,2022-11-11,W,1,True,90,216.0,-4.5
LA Clippers,Brooklyn Nets,2022-11-12,-,1,False,0,216.0,0
Washington Wizards,Utah Jazz,2022-11-12,L,1,False,-100,116.0,-4.0
Indiana Pacers,Toronto Raptors,2022-11-12,L,1,False,-100,16.0,3.0
Detroit Pistons,Boston Celtics,2022-11-12,W,1,True,110.0,126.0,-9.0
Philadelphia 76ers,Atlanta Hawks,2022-11-12,L,1,False,-100,26.0,2.5
Miami Heat,Charlotte Hornets,2022-11-12,L,1,False,-100,-74.0,8.5
New Orleans Pelicans,Houston Rockets,2022-11-12,L,1,False,-100,-174.0,10.5
Dallas Mavericks,Portland Trail Blazers,2022-11-12,W,1,True,83,-91.0,7.0
New York Knicks,Oklahoma City Thunder,2022-11-13,W,1,True,80,-11.0,5.5
Washington Wizards,Memphis Grizzlies,2022-11-13,L,1,False,-100,-111.0,0.5
Cleveland Cavaliers,Minnesota Timberwolves,2022-11-13,W,1,True,83,-28.0,1.0
Philadelphia 76ers,Utah Jazz,2022-11-13,L,1,False,-100,-128.0,3.5
Chicago Bulls,Denver Nuggets,2022-11-13,W,1,True,90,-38.0,-1.5
Sacramento Kings,Golden State Warriors,2022-11-13,L,1,False,-100,-138.0,-4.0
Los Angeles Lakers,Brooklyn Nets,2022-11-13,L,1,False,-100,-238.0,-5.0
Orlando Magic,Charlotte Hornets,2022-11-14,W,1,True,100.0,-138.0,-1.5
Detroit Pistons,Toronto Raptors,2022-11-14,W,1,True,90,-48.0,-3.5
Boston Celtics,Oklahoma City Thunder,2022-11-14,W,1,True,115.0,67.0,11.5
Miami Heat,Phoenix Suns,2022-11-14,W,1,True,83,150.0,2.5
Milwaukee Bucks,Atlanta Hawks,2022-11-14,W,1,True,115.0,265.0,4.0
Houston Rockets,LA Clippers,2022-11-14,-,1,False,0,265.0,0
Golden State Warriors,San Antonio Spurs,2022-11-14,L,1,False,-100,165.0,9.0
New Orleans Pelicans,Memphis Grizzlies,2022-11-15,L,1,False,-100,65.0,1.5
Dallas Mavericks,LA Clippers,2022-11-15,-,1,False,0,65.0,0
Utah Jazz,New York Knicks,2022-11-15,W,1,True,83,148.0,4.0
Sacramento Kings,Brooklyn Nets,2022-11-15,W,0,False,0,148.0,1.5
Portland Trail Blazers,San Antonio Spurs,2022-11-15,W,1,True,120.0,268.0,8.5
Orlando Magic,Minnesota Timberwolves,2022-11-16,W,1,True,115.0,383.0,-8.0
Washington Wizards,Oklahoma City Thunder,2022-11-16,W,1,True,105.0,488.0,5.0
Charlotte Hornets,Indiana Pacers,2022-11-16,W,1,True,120.0,608.0,-1.0
Toronto Raptors,Miami Heat,2022-11-16,W,0,False,0,608.0,3.0
Atlanta Hawks,Boston Celtics,2022-11-16,W,1,True,105.0,713.0,-1.0
Milwaukee Bucks,Cleveland Cavaliers,2022-11-16,L,1,False,-100,613.0,2.5
New Orleans Pelicans,Chicago Bulls,2022-11-16,L,1,False,-100,513.0,1.5
Dallas Mavericks,Houston Rockets,2022-11-16,L,0,True,0,513.0,6.5
Phoenix Suns,Golden State Warriors,2022-11-16,L,1,False,-100,413.0,-2.5
Denver Nuggets,New York Knicks,2022-11-16,W,1,True,120.0,533.0,2.5
Sacramento Kings,San Antonio Spurs,2022-11-17,W,0,False,0,533.0,7.0
Portland Trail Blazers,Brooklyn Nets,2022-11-17,W,1,True,115.0,648.0,3.0
LA Clippers,Detroit Pistons,2022-11-17,-,1,False,0,648.0,0
Washington Wizards,Miami Heat,2022-11-18,W,1,True,83,731.0,8.0
Cleveland Cavaliers,Charlotte Hornets,2022-11-18,W,1,True,83,814.0,11.5
Philadelphia 76ers,Milwaukee Bucks,2022-11-18,W,0,False,0,814.0,-3.5
Memphis Grizzlies,Oklahoma City Thunder,2022-11-18,L,1,False,-100,714.0,6.5
Houston Rockets,Indiana Pacers,2022-11-18,W,1,True,105.0,819.0,-5.5
Chicago Bulls,Orlando Magic,2022-11-18,W,1,True,90,909.0,8.5
Dallas Mavericks,Denver Nuggets,2022-11-18,L,1,False,-100,809.0,9.5
New Orleans Pelicans,Boston Celtics,2022-11-18,W,1,True,120.0,929.0,-5.5
Utah Jazz,Phoenix Suns,2022-11-18,W,1,True,90,1019.0,4.5
Golden State Warriors,New York Knicks,2022-11-18,L,1,False,-100,919.0,7.5
Los Angeles Lakers,Detroit Pistons,2022-11-18,W,0,False,0,919.0,6.5
Atlanta Hawks,Toronto Raptors,2022-11-19,W,1,True,110.0,1029.0,5.5
Indiana Pacers,Orlando Magic,2022-11-19,W,1,True,83,1112.0,4.5
Philadelphia 76ers,Minnesota Timberwolves,2022-11-19,W,0,False,0,1112.0,-3.5
Portland Trail Blazers,Utah Jazz,2022-11-19,W,1,True,125.0,1237.0,4.5
LA Clippers,San Antonio Spurs,2022-11-19,-,1,False,0,1237.0,0
Phoenix Suns,New York Knicks,2022-11-20,L,1,False,-100,1137.0,6.0
Washington Wizards,Charlotte Hornets,2022-11-20,W,1,True,115.0,1252.0,5.0
Sacramento Kings,Detroit Pistons,2022-11-20,W,1,True,100.0,1352.0,10.5
Brooklyn Nets,Memphis Grizzlies,2022-11-20,W,0,False,0,1352.0,7.5
Cleveland Cavaliers,Miami Heat,2022-11-20,W,0,False,0,1352.0,7.0
Houston Rockets,Golden State Warriors,2022-11-20,L,1,False,-100,1252.0,-10.5
Dallas Mavericks,Denver Nuggets,2022-11-20,W,1,True,83,1335.0,10.5
Los Angeles Lakers,San Antonio Spurs,2022-11-20,L,1,False,-100,1235.0,6.5
Indiana Pacers,Orlando Magic,2022-11-21,W,0,False,0,1235.0,7.0
Cleveland Cavaliers,Atlanta Hawks,2022-11-21,W,0,False,0,1235.0,3.5
Chicago Bulls,Boston Celtics,2022-11-21,L,1,False,-100,1135.0,-5.5
Oklahoma City Thunder,New York Knicks,2022-11-21,W,1,True,90,1225.0,2.0
Milwaukee Bucks,Portland Trail Blazers,2022-11-21,W,1,True,90,1315.0,10.0
New Orleans Pelicans,Golden State Warriors,2022-11-21,L,1,False,-100,1215.0,11.0
Minnesota Timberwolves,Miami Heat,2022-11-21,W,1,True,90,1305.0,8.5
LA Clippers,Utah Jazz,2022-11-21,-,1,False,0,1305.0,0
Philadelphia 76ers,Brooklyn Nets,2022-11-22,W,0,False,0,1305.0,-8.0
Memphis Grizzlies,Sacramento Kings,2022-11-22,W,1,True,110.0,1415.0,2.5
Denver Nuggets,Detroit Pistons,2022-11-22,W,1,True,110.0,1525.0,11.5
Phoenix Suns,Los Angeles Lakers,2022-11-22,L,1,False,-100,1425.0,9.5
Charlotte Hornets,Philadelphia 76ers,2022-11-23,L,1,False,-100,1325.0,4.0
Cleveland Cavaliers,Portland Trail Blazers,2022-11-23,L,1,False,-100,1225.0,7.0
Indiana Pacers,Minnesota Timberwolves,2022-11-23,W,1,True,83,1308.0,-4.5
Toronto Raptors,Brooklyn Nets,2022-11-23,W,1,True,80,1388.0,-2.5
Atlanta Hawks,Sacramento Kings,2022-11-23,L,1,False,-100,1288.0,4.5
Miami Heat,Washington Wizards,2022-11-23,L,1,False,-100,1188.0,5.0
Boston Celtics,Dallas Mavericks,2022-11-23,W,0,False,0,1188.0,6.0
Milwaukee Bucks,Chicago Bulls,2022-11-23,W,1,True,83,1271.0,7.5
Oklahoma City Thunder,Denver Nuggets,2022-11-23,W,1,True,72,1343.0,-1.0
San Antonio Spurs,New Orleans Pelicans,2022-11-23,W,1,True,105.0,1448.0,-5.5
Utah Jazz,Detroit Pistons,2022-11-23,W,1,True,80,1528.0,11.5
Golden State Warriors,LA Clippers,2022-11-23,-,1,False,0,1528.0,0
Charlotte Hornets,Minnesota Timberwolves,2022-11-25,L,1,False,-100,1428.0,-6.5
Orlando Magic,Philadelphia 76ers,2022-11-25,W,1,True,100.0,1528.0,1.5
New York Knicks,Portland Trail Blazers,2022-11-25,W,1,True,80,1608.0,4.0
Milwaukee Bucks,Cleveland Cavaliers,2022-11-25,L,1,False,-100,1508.0,4.0
Memphis Grizzlies,New Orleans Pelicans,2022-11-25,L,1,False,-100,1408.0,2.5
Houston Rockets,Atlanta Hawks,2022-11-25,L,1,False,-100,1308.0,-7.0
Indiana Pacers,Brooklyn Nets,2022-11-25,L,1,False,-100,1208.0,-3.5
San Antonio Spurs,Los Angeles Lakers,2022-11-25,W,1,True,90,1298.0,-4.0
Boston Celtics,Sacramento Kings,2022-11-25,W,0,False,0,1298.0,7.5
Miami Heat,Washington Wizards,2022-11-25,W,1,True,72,1370.0,3.0
Oklahoma City Thunder,Chicago Bulls,2022-11-25,L,1,False,-100,1270.0,-3.0
Phoenix Suns,Detroit Pistons,2022-11-25,W,1,True,83,1353.0,10.5
Golden State Warriors,Utah Jazz,2022-11-25,L,1,False,-100,1253.0,8.0
LA Clippers,Denver Nuggets,2022-11-25,-,1,False,0,1253.0,0
Toronto Raptors,Dallas Mavericks,2022-11-26,L,1,False,-100,1153.0,-2.5
San Antonio Spurs,Los Angeles Lakers,2022-11-26,W,1,True,115.0,1268.0,1.0
Phoenix Suns,Utah Jazz,2022-11-26,W,1,True,115.0,1383.0,6.5
Brooklyn Nets,Portland Trail Blazers,2022-11-27,W,0,False,0,1383.0,7.5
Minnesota Timberwolves,Golden State Warriors,2022-11-27,W,1,True,100.0,1483.0,-1.5
LA Clippers,Indiana Pacers,2022-11-27,-,1,False,0,1483.0,0
Detroit Pistons,Cleveland Cavaliers,2022-11-27,W,1,True,72,1555.0,-8.0
Boston Celtics,Washington Wizards,2022-11-27,W,0,False,0,1555.0,8.0
New York Knicks,Memphis Grizzlies,2022-11-27,W,1,True,110.0,1665.0,-1.5
Orlando Magic,Philadelphia 76ers,2022-11-27,W,1,True,90,1755.0,-1.0
Milwaukee Bucks,Dallas Mavericks,2022-11-27,W,0,False,0,1755.0,6.0
Washington Wizards,Minnesota Timberwolves,2022-11-28,W,0,False,0,1755.0,4.5
Philadelphia 76ers,Atlanta Hawks,2022-11-28,W,0,False,0,1755.0,2.5
Brooklyn Nets,Orlando Magic,2022-11-28,W,1,True,125.0,1880.0,8.5
Boston Celtics,Charlotte Hornets,2022-11-28,W,0,False,0,1880.0,11.0
Toronto Raptors,Cleveland Cavaliers,2022-11-28,L,1,False,-100,1780.0,5.0
New Orleans Pelicans,Oklahoma City Thunder,2022-11-28,W,1,True,125.0,1905.0,5.5
Denver Nuggets,Houston Rockets,2022-11-28,W,0,False,0,1905.0,11.0
Utah Jazz,Chicago Bulls,2022-11-28,W,1,True,80,1985.0,2.0
Sacramento Kings,Phoenix Suns,2022-11-28,W,1,True,83,2068.0,-1.0
Los Angeles Lakers,Indiana Pacers,2022-11-28,W,1,True,72,2140.0,3.5
Detroit Pistons,New York Knicks,2022-11-29,W,1,True,80,2220.0,-4.5
Dallas Mavericks,Golden State Warriors,2022-11-29,L,1,False,-100,2120.0,1.0
Portland Trail Blazers,LA Clippers,2022-11-29,-,1,False,0,2120.0,0
Orlando Magic,Atlanta Hawks,2022-11-30,W,1,True,80,2200.0,-6.5
Cleveland Cavaliers,Philadelphia 76ers,2022-11-30,L,1,False,-100,2100.0,4.0
New York Knicks,Milwaukee Bucks,2022-11-30,W,1,True,115.0,2215.0,-4.5
Brooklyn Nets,Washington Wizards,2022-11-30,W,1,True,105.0,2320.0,7.5
Boston Celtics,Miami Heat,2022-11-30,W,0,False,0,2320.0,12.5
New Orleans Pelicans,Toronto Raptors,2022-11-30,W,0,False,0,2320.0,6.5
Oklahoma City Thunder,San Antonio Spurs,2022-11-30,L,1,False,-100,2220.0,-1.5
Minnesota Timberwolves,Memphis Grizzlies,2022-11-30,L,1,False,-100,2120.0,-2.5
Denver Nuggets,Houston Rockets,2022-11-30,W,1,True,125.0,2245.0,21.5
Phoenix Suns,Chicago Bulls,2022-11-30,W,0,False,0,2245.0,8.5
Utah Jazz,LA Clippers,2022-11-30,-,1,False,0,2245.0,0
Sacramento Kings,Indiana Pacers,2022-11-30,W,0,False,0,2245.0,4.5
Los Angeles Lakers,Portland Trail Blazers,2022-11-30,L,1,False,-100,2145.0,6.0
Detroit Pistons,Dallas Mavericks,2022-12-01,L,1,False,-100,2045.0,-8.0
Charlotte Hornets,Washington Wizards,2022-12-02,L,1,False,-100,1945.0,-4.0
Cleveland Cavaliers,Orlando Magic,2022-12-02,W,1,True,80,2025.0,11.5
Atlanta Hawks,Denver Nuggets,2022-12-02,L,1,False,-100,1925.0,0.5
Boston Celtics,Miami Heat,2022-12-02,W,1,True,90,2015.0,5.5
Brooklyn Nets,Toronto Raptors,2022-12-02,W,1,True,100.0,2115.0,10.5
Milwaukee Bucks,Los Angeles Lakers,2022-12-02,L,0,True,0,2115.0,7.5
San Antonio Spurs,New Orleans Pelicans,2022-12-02,W,1,True,83,2198.0,-7.5
Memphis Grizzlies,Philadelphia 76ers,2022-12-02,W,0,False,0,2198.0,6.5
Phoenix Suns,Houston Rockets,2022-12-02,W,1,True,90,2288.0,11.5
Utah Jazz,Indiana Pacers,2022-12-02,L,1,False,-100,2188.0,4.0
Golden State Warriors,Chicago Bulls,2022-12-02,W,0,False,0,2188.0,7.5
New York Knicks,Dallas Mavericks,2022-12-03,W,1,True,90,2278.0,-1.0
LA Clippers,Sacramento Kings,2022-12-03,-,1,False,0,2278.0,0
Charlotte Hornets,Milwaukee Bucks,2022-12-03,W,1,True,110.0,2388.0,-1.5
Toronto Raptors,Orlando Magic,2022-12-03,L,1,False,-100,2288.0,11.5
